article_id,title,year,pdf_url,candidate_source,host,arxiv_id,doi,publishers
gsa-b032441e221c,EcoTaskSched: a hybrid machine learning approach for energy-efficient task scheduling in IoT-based fog-cloud environments,2025,https://www.nature.com/articles/s41598-025-96974-9.pdf,derived_nature,www.nature.com,,10.1038/s41598-025-96974-9,"[""Nature""]"
gsa-2888fc7700fb,Reinforcement Learning-Driven Task Offloading and Resource Allocation in Wireless IoT Networks,2025,https://ieeexplore.ieee.org/iel8/6287639/6514899/10971941.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-a5e270604e02,Cost and Makespan-Aware Task Scheduling With Deep Reinforcement Learning in Multicloud Environments,2025,https://www.researchgate.net/profile/Jun-Jiang-73/publication/390598946_Cost_and_Makespan-Aware_Task_Scheduling_With_Deep_Reinforcement_Learning_in_Multicloud_Environments/links/67f5c7f249e91c0feaea14ff/Cost-and-Makespan-Aware-Task-Scheduling-With-Deep-Reinforcement-Learning-in-Multicloud-Environments.pdf,direct,www.researchgate.net,,,"[""ResearchGate""]"
gsa-90f02a575d40,A Modified Jellyfish Search Algorithm for Task Scheduling in Fog-Cloud Systems,2025,https://onlinelibrary.wiley.com/doi/pdf/10.1002/cpe.70054,derived_wiley_doi,onlinelibrary.wiley.com,,10.1002/cpe.70054,"[""Wiley""]"
gsa-08f2166c2ecc,Computation Offloading in Mobile Edge Computing-enabled Blockchain Based on Contract and Matching Theory,2025,https://link.springer.com/content/pdf/10.1007/s11036-025-02444-x.pdf,derived_springer_doi,link.springer.com,,10.1007/s11036-025-02444-x,"[""Springer""]"
gsa-4661301af0dd,OptimusNIC: Offloading Optimizer State to SmartNICs for Efficient Large-Scale AI Training,2025,https://dl.acm.org/doi/pdf/10.1145/3721146.3721960,direct,dl.acm.org,,10.1145/3721146.3721960,"[""ACM Digital Library""]"
gsa-28774e74fa75,A self-adaptive differential evolution algorithm for task scheduling in cloud computing,2025,http://dl.openaccess.ir/o/aisoft1/aisoft1-02070142_2_231007014152.pdf,direct,dl.openaccess.ir,,,"[""dl.openaccess.ir""]"
gsa-3a8e338ca95a,"From Sensors to Data Intelligence: Leveraging IoT, Cloud, and Edge Computing with AI",2025,https://www.mdpi.com/1424-8220/25/6/1763/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-ae2e3bd4d0aa,DEGREE OF IMBALANCE FOR TASK SCHEDULING IN CLOUD COMPUTING,2025,http://jatit.org/volumes/Vol103No6/16Vol103No6.pdf,direct,jatit.org,,,"[""jatit.org""]"
gsa-28628d592b57,Efficient Resource Allocation in Digital Twin-Assisted Mobile Edge Computing Network,2025,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ett.70108,derived_wiley_doi,onlinelibrary.wiley.com,,10.1002/ett.70108,"[""Wiley""]"
gsa-ecbcfc381e90,Blockchain-Based UAV-Assisted Mobile Edge Computing for Dual Game Resource Allocation,2025,https://www.mdpi.com/2076-3417/15/7/4048/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-7c33cd6a9caf,Adaptive multilayer architectures for intelligent edge computing leveraging federated learning and energy-efficient neural optimization in distributed electrical systems,2025,https://www.researchgate.net/profile/Researcher-Vii/publication/390481990_ADAPTIVE_MULTILAYER_ARCHITECTURES_FOR_INTELLIGENT_EDGE_COMPUTING_LEVERAGING_FEDERATED_LEARNING_AND_ENERGY-EFFICIENT_NEURAL_OPTIMIZATION_IN_DISTRIBUTED_ELECTRICAL_SYSTEMS/links/67ef9c2049e91c0feadc134f/ADAPTIVE-MULTILAYER-ARCHITECTURES-FOR-INTELLIGENT-EDGE-COMPUTING-LEVERAGING-FEDERATED-LEARNING-AND-ENERGY-EFFICIENT-NEURAL-OPTIMIZATION-IN-DISTRIBUTED-ELECTRICAL-SYSTEMS.pdf,direct,www.researchgate.net,,,"[""ResearchGate""]"
gsa-834d6ae02035,Sustainable AI with Quantum-Inspired Optimization: Enabling End-to-End Automation in Cloud-Edge Computing,2025,https://ieeexplore.ieee.org/iel8/6287639/6514899/10937702.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-19b96198b502,Geometric Knowledge-Guided Localized Global Distribution Alignment for Federated Learning,2025,https://arxiv.org/pdf/2503.06457,direct,arxiv.org,2503.06457,,"[""arXiv""]"
gsa-49f2a1e53b89,Efficient and Sustainable Task Offloading in UAV-Assisted MEC Systems via Meta Deep Reinforcement Learning,2025,https://arxiv.org/pdf/2504.00453,direct,arxiv.org,2504.00453,,"[""arXiv""]"
gsa-ba8d53318e37,"Rotatable RIS-Assisted Edge Computing: Orientation, Task Offloading, and Resource Optimization",2025,https://arxiv.org/pdf/2503.16879,direct,arxiv.org,2503.16879,,"[""arXiv""]"
gsa-536c412fa48d,Multi-Agent Reinforcement Learning for Graph Discovery in D2D-Enabled Federated Learning,2025,https://arxiv.org/pdf/2503.23218,direct,arxiv.org,2503.23218,,"[""arXiv""]"
gsa-90f4662f61fc,"Mobility-Aware Multi-Task Decentralized Federated Learning for Vehicular Networks: Modeling, Analysis, and Optimization",2025,https://arxiv.org/pdf/2503.06468,direct,arxiv.org,2503.06468,,"[""arXiv""]"
gsa-5631a6e23783,Mobility-aware decentralized federated learning with joint optimization of local iteration and leader selection for vehicular networks,2025,https://arxiv.org/pdf/2503.06443,direct,arxiv.org,2503.06443,,"[""arXiv""]"
gsa-fea5ccc635cd,Joint Task Offloading and Resource Scheduling in Low Earth Orbit Satellite Edge Computing Networks,2025,https://www.mdpi.com/2079-9292/14/5/1016/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-09261df905cf,Dynamic task offloading for IoT-Fog-Cloud systems: a network traffic-aware decision tree approach,2025,https://link.springer.com/content/pdf/10.1007/s00607-025-01449-4.pdf,derived_springer_doi,link.springer.com,,10.1007/s00607-025-01449-4,"[""Springer""]"
gsa-c31168f1d271,Federated Learning with Sailfish-Optimized Ensemble Models for Anomaly Detection in IoT Edge Computing Environment,2025,https://ieeexplore.ieee.org/iel8/6287639/6514899/10938074.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-2913e669ee31,Research on Edge Computing and Cloud Collaborative Resource Scheduling Optimization Based on Deep Reinforcement Learning,2025,https://arxiv.org/pdf/2502.18773,direct,arxiv.org,2502.18773,,"[""arXiv""]"
gsa-2002cae86da5,Securing and optimizing IoT offloading with blockchain and deep reinforcement learning in multi-user environments,2025,https://link.springer.com/content/pdf/10.1007/s11276-025-03932-4.pdf,derived_springer_doi,link.springer.com,,10.1007/s11276-025-03932-4,"[""Springer""]"
gsa-37aa9ecd75f2,A NOVEL FUZZY RULE BASED DECISION-MAKING APPROACH FOR TASK OFFLOADING ON MULTI-TIER MOBILE-EDGE CLOUD COMPUTING SYSTEMS,2025,http://www.jatit.org/volumes/Vol103No5/13Vol103No5.pdf,direct,www.jatit.org,,,"[""www.jatit.org""]"
gsa-cc3f42b0eb8b,A Dynamic Optimization Framework for Computation Rate Maximization in UAV-Assisted Mobile Edge Computing,2025,https://ieeexplore.ieee.org/iel8/25/4356907/10918796.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-6d7d03ad7eeb,Transformer and Meta-Reinforcement Learning-Based Task Offloading for MEC Systems in Dynamic Environments,2025,https://ieeexplore.ieee.org/iel8/6287639/6514899/10921728.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-cacd1b9b34b2,Large Language Model-Guided SARSA Algorithm for Dynamic Task Scheduling in Cloud Computing,2025,https://www.mdpi.com/2227-7390/13/6/926/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-5524a7be3100,Fog-based architecture and efficient task offloading methodology in IoT-based applications for smart irrigation system,2025,https://link.springer.com/content/pdf/10.1007/s00607-025-01430-1.pdf,derived_springer_doi,link.springer.com,,10.1007/s00607-025-01430-1,"[""Springer""]"
gsa-98f6acb29ea4,Delay-Aware Digital Twin Synchronization in Mobile Edge Networks With Semantic Communications,2025,https://arxiv.org/pdf/2503.04387,direct,arxiv.org,2503.04387,,"[""arXiv""]"
gsa-8bdcfe9e3113,Computation offloading and pricing strategy for heterogeneous multicell network with mobile edge computing,2025,https://link.springer.com/content/pdf/10.1007/s12083-025-01926-9.pdf,derived_springer_doi,link.springer.com,,10.1007/s12083-025-01926-9,"[""Springer""]"
gsa-521257deef6d,MOSO: multi-objective snake optimizer with density estimation and grid indexing mechanism for edge computing task offloading and scheduling optimization,2025,https://link.springer.com/content/pdf/10.1007/s10586-024-04902-9.pdf,derived_springer_doi,link.springer.com,,10.1007/s10586-024-04902-9,"[""Springer""]"
gsa-bcdab5402f34,The Optimal Operation Strategy of an Energy Community Aggregator for Heterogeneous Distributed Flexible Resources,2025,https://ieeexplore.ieee.org/iel8/8784343/8891891/10916768.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-2467ed4c6bad,Learning Neural Velocity Fields from Dynamic 3D Scenes via Edge-Aware Ray Sampling,2025,https://www.scitepress.org/Papers/2025/132336/132336.pdf,direct,www.scitepress.org,,,"[""www.scitepress.org""]"
gsa-8d73d0ccb3f1,"Performance Evaluation of Decentralized Federated Learning: Impact of Fully and K-Connected Topologies, Heterogeneous Computing Resources, and Communication Bandwidth",2025,https://ieeexplore.ieee.org/iel8/6287639/6514899/10891509.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-d5a0dde64271,Privacy-preserving cooperative hierarchical caching approach based on federated deep reinforcement learning for vehicular edge computing,2025,https://link.springer.com/content/pdf/10.1007/s11227-025-07058-4.pdf,derived_springer_doi,link.springer.com,,10.1007/s11227-025-07058-4,"[""Springer""]"
gsa-940461162f92,KJA: Kookaburra Jellyfish Algorithm Based Task Offloading in UAV-Enabled Mobile Edge Computing Network,2025,https://onlinelibrary.wiley.com/doi/pdf/10.1002/dac.70007,derived_wiley_doi,onlinelibrary.wiley.com,,10.1002/dac.70007,"[""Wiley""]"
gsa-1939e64335df,PQBFL: A Post-Quantum Blockchain-based Protocol for Federated Learning,2025,https://arxiv.org/pdf/2502.14464,direct,arxiv.org,2502.14464,,"[""arXiv""]"
gsa-954247139db3,Lyapunov-Guided Resource Allocation and Task Scheduling for Edge Computing Cognitive Radio Networks via Deep Reinforcement Learning,2025,https://ieeexplore.ieee.org/iel8/7361/4427201/10906327.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-2a1e745a18db,Energy-Efficient Dynamic Workflow Scheduling in Cloud Environments Using Deep Learning,2025,https://www.mdpi.com/1424-8220/25/5/1428/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-1ff95884c5cf,Next-generation offloading using hybrid deep learning network for adaptive mobile edge computing,2025,https://www.academia.edu/download/121323757/59_36313_IJECE_14_Fa.pdf,direct,www.academia.edu,,,"[""www.academia.edu""]"
gsa-8a503c8f76fa,P2PPO: parallel residual network and prioritized experience replay enhanced PPO for task offloading and resource allocation in SatEC,2025,https://link.springer.com/content/pdf/10.1007/s11227-024-06900-5.pdf,derived_springer_doi,link.springer.com,,10.1007/s11227-024-06900-5,"[""Springer""]"
gsa-1aa837269c01,Optimized Task Offloading in Multi-Domain IoT Networks Using Distributed Deep Reinforcement Learning in Edge Computing Environments,2025,https://ieeexplore.ieee.org/iel8/6287639/6514899/10857273.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-bffde7a57d68,Multi-Objective Workflow Scheduling in Cloud Using Archimedes Optimization Algorithm,2025,https://onlinelibrary.wiley.com/doi/pdf/10.1002/cpe.8393,derived_wiley_doi,onlinelibrary.wiley.com,,10.1002/cpe.8393,"[""Wiley""]"
gsa-1e1a11e7509b,"Joint Pricing, Server Orchestration and Network Slice Deployment in Mobile Edge Computing Networks",2025,https://www.mdpi.com/2079-9292/14/5/841/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-6c7a48b56248,Task Offloading in Vehicular Edge Computing using Deep Reinforcement Learning: A Survey,2025,https://arxiv.org/pdf/2502.06963,direct,arxiv.org,2502.06963,,"[""arXiv""]"
gsa-23f1226e5268,Serving Long-Context LLMs at the Mobile Edge: Test-Time Reinforcement Learning-based Model Caching and Inference Offloading,2025,https://arxiv.org/pdf/2501.14205,direct,arxiv.org,2501.14205,,"[""arXiv""]"
gsa-bb9cdda8b32c,Securing Linux Cloud Environments: Privacy-Aware Federated Learning Framework for Advanced Malware Detection in Linux Clouds,2025,https://ieeexplore.ieee.org/iel8/6287639/6514899/10879481.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-f6446815df56,Safety-Critical Offloading with Constrained Reinforcement Learning for Multi-access Edge Computing,2025,https://dl.acm.org/doi/pdf/10.1145/3715695,direct,dl.acm.org,,10.1145/3715695,"[""ACM Digital Library""]"
gsa-6270272da490,UAV-Assisted MEC Architecture for Collaborative Task Offloading in Urban IoT Environment,2025,https://arxiv.org/pdf/2501.15164,direct,arxiv.org,2501.15164,,"[""arXiv""]"
gsa-d1eed6f7dbd6,An online joint optimization approach for task offloading and caching in multi-access edge computing,2025,https://link.springer.com/content/pdf/10.1007/s11276-025-03900-y.pdf,derived_springer_doi,link.springer.com,,10.1007/s11276-025-03900-y,"[""Springer""]"
gsa-7c80fdd21267,UAV-assisted Joint Mobile Edge Computing and Data Collection via Matching-enabled Deep Reinforcement Learning,2025,https://arxiv.org/pdf/2502.07388,direct,arxiv.org,2502.07388,,"[""arXiv""]"
gsa-76729a3de397,Energy-efficient task offloading and efficient resource allocation for edge computing: a quantum inspired particle swarm optimization approach,2025,https://link.springer.com/content/pdf/10.1007/s10586-024-04833-5.pdf,derived_springer_doi,link.springer.com,,10.1007/s10586-024-04833-5,"[""Springer""]"
gsa-a14960651558,VFL-Cafe: Communication-Efficient Vertical Federated Learning via Dynamic Caching and Feature Selection,2025,https://www.mdpi.com/1099-4300/27/1/66/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-72626d7fce41,A smart grid computational offloading policy generation method for end-edge-cloud environments,2025,https://link.springer.com/content/pdf/10.1007/s40860-025-00243-5.pdf,derived_springer_doi,link.springer.com,,10.1007/s40860-025-00243-5,"[""Springer""]"
gsa-91c64cfbbb72,A Flawless QoS Aware Task Offloading in IoT Driven Edge Computing System using Chebyshev Based Sand Cat Swarm Optimization,2025,https://link.springer.com/content/pdf/10.1007/s10723-024-09791-1.pdf,derived_springer_doi,link.springer.com,,10.1007/s10723-024-09791-1,"[""Springer""]"
gsa-e0e8c598abae,New fuzzy zeroing neural network with noise suppression capability for time-varying linear equation solving,2025,https://link.springer.com/content/pdf/10.1007/s10462-024-11026-4.pdf,derived_springer_doi,link.springer.com,,10.1007/s10462-024-11026-4,"[""Springer""]"
